id,full_name,team,position,total_points,matches_played,value,ppm,points_per_match
540,Luke Cundle,Wolves,MID,0,0,4.5,inf,
541,Matheus Santos Carneiro Da Cunha,Wolves,FWD,135,27,7.1,0.05259259259259259,5.0
542,Craig Dawson,Wolves,DEF,69,24,4.4,0.063768115942029,2.875
543,Matt Doherty,Wolves,DEF,41,12,4.3,0.1048780487804878,3.4166666666666665
544,Tommy Doyle,Wolves,MID,38,13,4.8,0.12631578947368421,2.923076923076923
545,Fábio Silva,Wolves,FWD,8,2,5.0,0.625,4.0
546,Nathan Fraser,Wolves,FWD,7,2,4.5,0.6428571428571429,3.5
547,Enso González,Wolves,MID,1,0,4.4,4.4,inf
548,Gonçalo Manuel Ganchinho Guedes,Wolves,MID,0,0,5.3,inf,
549,Hugo Bueno López,Wolves,DEF,29,8,4.5,0.15517241379310345,3.625
550,Hwang Hee-chan,Wolves,MID,125,23,6.1,0.048799999999999996,5.434782608695652
551,Joe Hodge,Wolves,MID,0,0,4.5,inf,
552,Ki-Jana Hoever,Wolves,DEF,0,0,4.0,inf,
553,João Victor Gomes da Silva,Wolves,MID,75,29,4.9,0.06533333333333334,2.586206896551724
554,José Malheiro de Sá,Wolves,GKP,107,33,4.3,0.04018691588785046,3.242424242424242
555,Saša Kalajdžić,Wolves,FWD,24,1,4.8,0.19999999999999998,24.0
556,Tom King,Wolves,GKP,0,0,4.0,inf,
557,Mario Lemina,Wolves,MID,95,32,5.0,0.05263157894736842,2.96875
558,Yerson Mosquera,Wolves,DEF,0,0,3.9,inf,
559,Nélson Cabral Semedo,Wolves,DEF,63,34,4.5,0.07142857142857142,1.8529411764705883
562,Daniel Castelo Podence,Wolves,MID,0,0,5.5,inf,
564,Santiago Bueno,Wolves,DEF,13,9,4.3,0.33076923076923076,1.4444444444444444
565,Pablo Sarabia,Wolves,MID,99,19,5.1,0.051515151515151514,5.2105263157894735
567,Toti António Gomes,Wolves,DEF,82,30,4.3,0.0524390243902439,2.7333333333333334
