id,full_name,team,position,total_points,matches_played,value,points_per_match,ppm
577,Jesper Lindstrøm,Everton,MID,21,5,5.1,4.2,0.823529411764706
582,Jake O'Brien,Everton,DEF,1,0,4.6,inf,inf
603,Harrison Armstrong,Everton,MID,1,0,4.5,inf,inf
614,Jenson Metcalfe,Everton,MID,0,0,4.5,,
624,Asmir Begovic,Everton,GKP,0,0,4.0,,
627,Roman Dixon,Everton,DEF,0,1,4.0,0.0,0.0
651,Orel Mangala,Everton,MID,29,9,5.0,3.2222222222222223,0.6444444444444445
678,Callum Bates,Everton,MID,0,0,4.5,,
10,Reiss Nelson,Fulham,MID,27,5,5.0,5.4,1.08
19,Emile Smith Rowe,Fulham,MID,61,12,5.4,5.083333333333333,0.9413580246913579
191,Joachim Andersen,Fulham,DEF,21,9,4.2,2.3333333333333335,0.5555555555555556
239,Adama Traoré,Fulham,MID,45,10,4.7,4.5,0.9574468085106382
240,Andreas Hoelgebaum Pereira,Fulham,MID,43,12,5.0,3.5833333333333335,0.7166666666666667
241,Calvin Bassey,Fulham,DEF,37,17,4.5,2.176470588235294,0.4836601307189542
242,Steven Benda,Fulham,GKP,0,0,4.0,,
243,Tom Cairney,Fulham,MID,14,2,4.8,7.0,1.4583333333333335
244,Timothy Castagne,Fulham,DEF,17,3,4.2,5.666666666666667,1.3492063492063493
245,Issa Diop,Fulham,DEF,22,10,4.4,2.2,0.5
246,Luke Harris,Fulham,MID,0,0,4.5,,
247,Alex Iwobi,Fulham,MID,83,17,5.8,4.882352941176471,0.8417849898580123
248,Bernd Leno,Fulham,GKP,57,18,5.0,3.1666666666666665,0.6333333333333333
249,Saša Lukić,Fulham,MID,23,10,4.8,2.3,0.47916666666666663
250,Kevin Mbabu,Fulham,DEF,0,0,4.0,,
251,Rodrigo Muniz Carvalho,Fulham,FWD,41,6,5.5,6.833333333333333,1.2424242424242424
252,Raúl Jiménez,Fulham,FWD,65,11,5.5,5.909090909090909,1.0743801652892562
253,Tim Ream,Fulham,DEF,0,0,4.5,,
254,Harrison Reed,Fulham,MID,6,0,4.7,inf,inf
255,Antonee Robinson,Fulham,DEF,62,18,4.9,3.4444444444444446,0.7029478458049887
256,Jay Stansfield,Fulham,FWD,1,0,5.0,inf,inf
257,Kenny Tete,Fulham,DEF,37,14,4.5,2.642857142857143,0.5873015873015873
258,Carlos Vinícius Alves Morais,Fulham,FWD,1,0,5.0,inf,inf
259,Harry Wilson,Fulham,MID,39,4,5.2,9.75,1.875
579,Ryan Sessegnon,Fulham,DEF,2,0,4.2,inf,inf
586,Jorge Cuenca Barreno,Fulham,DEF,4,1,4.4,4.0,0.9090909090909091
604,Josh King,Fulham,MID,4,0,4.5,inf,inf
605,Martial Godo,Fulham,MID,1,0,4.5,inf,inf
622,Sander Berge,Fulham,MID,26,10,5.0,2.6,0.52
690,Samuel Amissah,Fulham,DEF,0,0,4.0,,
260,Ali Al-Hamadi,Ipswich,FWD,6,1,4.8,6.0,1.25
261,Elkan Baggott,Ipswich,DEF,0,0,4.0,,
262,Nathan Broadhead,Ipswich,MID,4,0,4.9,inf,inf
263,Cameron Burgess,Ipswich,DEF,15,9,4.0,1.6666666666666667,0.4166666666666667
264,Wes Burns,Ipswich,MID,23,8,4.8,2.875,0.5989583333333334
265,Conor Chaplin,Ipswich,MID,33,6,5.1,5.5,1.0784313725490198
266,Harry Clarke,Ipswich,DEF,1,4,4.0,0.25,0.0625
267,Leif Davis,Ipswich,DEF,42,18,4.5,2.3333333333333335,0.5185185185185186
268,Liam Delap,Ipswich,FWD,61,14,5.6,4.357142857142857,0.7780612244897959
269,George Edmundson,Ipswich,DEF,1,0,4.0,inf,inf
270,Jacob Greaves,Ipswich,DEF,14,9,3.9,1.5555555555555556,0.39886039886039887
271,Marcus Myers-Harness,Ipswich,MID,2,0,4.9,inf,inf
272,George Hirst,Ipswich,FWD,17,1,5.4,17.0,3.148148148148148
273,Cameron Humphreys,Ipswich,MID,0,0,4.5,,
274,Omari Giraud-Hutchinson,Ipswich,MID,42,16,5.2,2.625,0.5048076923076923
275,Ben Johnson,Ipswich,DEF,12,6,3.9,2.0,0.5128205128205129
276,Freddie Ladapo,Ipswich,FWD,0,0,4.5,,
277,Massimo Luongo,Ipswich,MID,7,1,4.4,7.0,1.5909090909090908
278,Sam Morsy,Ipswich,MID,41,15,4.9,2.7333333333333334,0.5578231292517006
279,Corrie Ndaba,Ipswich,DEF,0,0,4.0,,
280,Cieran Slicker,Ipswich,GKP,0,0,4.0,,
281,Jack Taylor,Ipswich,MID,17,3,4.8,5.666666666666667,1.1805555555555556
282,Axel Tuanzebe,Ipswich,DEF,15,8,3.9,1.875,0.4807692307692308
283,Christian Walton,Ipswich,GKP,2,1,4.3,2.0,0.46511627906976744
284,Luke Woolfenden,Ipswich,DEF,6,5,4.0,1.2,0.3
359,Kalvin Phillips,Ipswich,MID,14,7,4.8,2.0,0.4166666666666667
568,Arijanet Muric,Ipswich,GKP,48,17,4.4,2.823529411764706,0.6417112299465241
583,Conor Townsend,Ipswich,DEF,1,0,4.0,inf,inf
611,Sam Szmodics,Ipswich,MID,44,9,5.8,4.888888888888889,0.8429118773946361
619,Jens Cajuste,Ipswich,MID,19,7,4.5,2.7142857142857144,0.6031746031746033
630,Dara O'Shea,Ipswich,DEF,23,14,4.1,1.6428571428571428,0.4006968641114983
631,Jack Clarke,Ipswich,MID,24,5,5.5,4.8,0.8727272727272727
