iter	Passed	Remaining
180	1357	6141
181	1363	6129
182	1371	6122
183	1379	6116
184	1386	6109
185	1397	6113
186	1406	6114
187	1414	6108
188	1422	6102
189	1429	6096
190	1437	6088
191	1445	6082
192	1452	6075
193	1460	6065
194	1467	6058
195	1475	6051
196	1482	6044
197	1490	6037
198	1498	6031
199	1505	6023
200	1513	6016
201	1521	6009
202	1528	5999
203	1535	5992
204	1543	5985
205	1550	5977
206	1557	5966
207	1564	5958
208	1572	5951
209	1580	5944
210	1587	5937
211	1595	5930
212	1603	5923
213	1610	5915
214	1618	5908
215	1625	5901
216	1633	5894
217	1641	5886
218	1648	5879
219	1656	5871
220	1663	5864
221	1671	5857
222	1679	5850
223	1686	5843
224	1694	5836
225	1701	5827
226	1709	5820
227	1716	5812
228	1723	5804
229	1731	5796
230	1738	5788
231	1746	5781
232	1753	5773
233	1761	5766
234	1769	5758
235	1776	5751
236	1784	5744
237	1791	5736
238	1799	5729
239	1806	5721
240	1814	5713
241	1821	5706
242	1829	5698
243	1836	5691
244	1844	5683
245	1851	5676
246	1859	5668
247	1866	5660
248	1874	5652
249	1881	5645
250	1889	5638
251	1897	5631
252	1904	5623
253	1912	5616
254	1919	5608
255	1927	5601
256	1935	5594
257	1942	5586
258	1950	5579
259	1957	5571
260	1965	5564
261	1972	5557
262	1980	5549
263	1987	5542
264	1995	5534
265	2003	5527
266	2014	5531
267	2023	5526
268	2031	5519
269	2038	5511
270	2045	5501
271	2052	5494
272	2060	5486
273	2068	5479
274	2075	5472
275	2083	5464
276	2091	5457
277	2098	5450
278	2106	5443
279	2114	5436
280	2121	5429
281	2129	5421
282	2135	5410
283	2142	5400
284	2149	5393
285	2157	5386
286	2165	5380
287	2173	5372
288	2180	5365
289	2188	5357
290	2194	5347
291	2202	5339
292	2209	5332
293	2217	5325
294	2225	5317
295	2232	5309
296	2240	5302
297	2247	5294
298	2255	5287
299	2262	5279
300	2270	5272
301	2278	5266
302	2284	5255
303	2292	5249
304	2300	5242
305	2308	5234
306	2315	5227
307	2322	5219
308	2330	5211
309	2337	5203
310	2345	5196
311	2353	5189
312	2361	5183
313	2369	5175
314	2376	5168
315	2384	5161
316	2391	5153
317	2399	5145
318	2406	5137
319	2413	5129
320	2421	5121
321	2428	5114
322	2436	5106
323	2443	5099
324	2451	5091
325	2459	5084
326	2466	5076
327	2474	5068
328	2481	5060
329	2488	5053
330	2496	5045
331	2502	5034
332	2509	5026
333	2516	5018
334	2524	5010
335	2531	5002
336	2538	4995
337	2546	4987
338	2553	4979
339	2561	4971
340	2568	4963
341	2576	4956
342	2582	4946
343	2590	4939
344	2598	4933
345	2604	4922
346	2611	4915
347	2619	4908
348	2627	4900
349	2634	4893
350	2642	4885
351	2648	4875
352	2654	4864
353	2661	4857
354	2669	4849
355	2676	4842
356	2684	4834
357	2692	4827
358	2699	4820
359	2707	4813
360	2714	4805
361	2722	4797
362	2729	4790
363	2737	4782
364	2744	4775
365	2752	4768
366	2760	4761
367	2768	4754
368	2776	4747
369	2781	4736
370	2789	4728
371	2794	4718
372	2800	4707
373	2808	4700
374	2816	4693
375	2824	4686
376	2831	4679
377	2839	4671
378	2846	4664
379	2854	4658
380	2862	4650
381	2869	4642
382	2877	4634
383	2894	4643
384	2908	4646
385	2916	4638
386	2923	4630
387	2930	4623
388	2938	4615
389	2945	4607
390	2953	4599
391	2959	4589
392	2964	4579
393	2972	4571
394	2978	4561
395	2985	4553
396	2993	4546
397	3000	4538
398	3007	4529
399	3014	4522
400	3020	4512
401	3028	4504
402	3035	4496
403	3043	4489
404	3050	4481
405	3057	4473
406	3065	4465
407	3070	4455
408	3078	4447
409	3083	4437
410	3091	4430
411	3098	4422
412	3106	4414
413	3113	4407
414	3119	4397
